student_id,Digital Logic Design (DLD)_mark,lag_Digital Logic Design (DLD),Electrical and Electronics Engineering (EEE)_mark,lag_Electrical and Electronics Engineering (EEE),Engineering Graphics_mark,lag_Engineering Graphics,Engineering Physics_mark,lag_Engineering Physics,Engineering Mathematics – II_mark,lag_Engineering Mathematics – II
428,24.81,0,27.1,0,14.61,1,17.77,0,17.45,0
429,5.92,1,7.2,1,29.35,0,1.47,1,18.18,0
430,26.96,0,25.9,0,0.06,1,22.54,0,9.29,1
431,15.12,0,29.88,0,28.7,0,3.29,1,4.22,1
432,1.76,1,9.02,1,12.71,1,12.29,1,26.52,0
433,8.65,1,19.75,0,26.35,0,13.91,1,25.44,0
434,7.25,1,25.92,0,9.16,1,9.75,1,19.32,0
435,23.02,0,25.35,0,12.7,1,25.5,0,25.87,0
436,22.58,0,4.65,1,25.24,0,14.54,1,6.09,1
437,13.7,1,24.83,0,1.8,1,17.16,0,13.89,1
438,5.88,1,6.0,1,21.29,0,27.97,0,26.96,0
439,10.36,1,29.26,0,13.79,1,22.65,0,18.74,0
440,2.18,1,8.99,1,14.83,1,4.46,1,5.71,1
441,16.78,0,17.18,0,1.2,1,25.44,0,9.48,1
442,26.13,0,24.3,0,22.75,0,4.67,1,25.46,0
443,24.84,0,17.0,0,26.32,0,11.36,1,28.67,0
444,23.09,0,29.02,0,14.11,1,23.61,0,1.86,1
445,8.92,1,18.37,0,10.53,1,3.62,1,19.87,0
446,1.19,1,18.48,0,17.51,0,2.14,1,9.16,1
447,1.62,1,13.42,1,21.18,0,6.33,1,5.15,1
448,27.6,0,0.89,1,19.39,0,8.87,1,13.2,1
449,13.84,1,20.35,0,5.28,1,3.42,1,14.04,1
450,26.43,0,22.79,0,19.91,0,23.28,0,7.92,1
451,15.62,0,27.39,0,3.47,1,5.33,1,8.96,1
452,16.8,0,1.16,1,0.5,1,21.99,0,20.05,0
453,4.31,1,15.2,0,6.8,1,0.01,1,0.92,1
454,7.35,1,8.76,1,25.82,0,18.89,0,14.08,1
455,7.91,1,17.7,0,4.01,1,27.25,0,3.05,1
456,4.41,1,17.48,0,25.2,0,7.41,1,2.84,1
457,7.69,1,28.31,0,1.72,1,2.13,1,5.92,1
458,2.98,1,13.25,1,5.88,1,6.47,1,18.15,0
459,19.77,0,11.09,1,7.98,1,15.69,0,1.96,1
460,13.51,1,25.18,0,27.17,0,12.98,1,5.25,1
461,24.68,0,16.23,0,29.33,0,12.79,1,16.98,0
462,24.63,0,14.63,1,20.64,0,27.5,0,26.77,0
463,4.88,1,25.83,0,27.92,0,10.54,1,1.38,1
464,25.51,0,15.24,0,4.32,1,16.07,0,21.22,0
465,17.47,0,12.91,1,16.27,0,14.61,1,15.58,0
466,26.03,0,23.05,0,5.94,1,0.89,1,9.72,1
467,7.28,1,15.73,0,24.17,0,27.62,0,9.16,1
468,23.24,0,9.79,1,27.99,0,15.41,0,15.37,0
469,25.43,0,1.85,1,28.22,0,4.67,1,28.1,0
470,6.26,1,14.44,1,27.63,0,19.55,0,14.81,1
471,26.36,0,8.44,1,17.03,0,3.24,1,21.08,0
472,8.31,1,15.51,0,2.06,1,18.67,0,4.15,1
473,6.24,1,2.76,1,8.65,1,9.47,1,0.31,1
474,9.73,1,23.42,0,7.73,1,25.89,0,8.38,1
475,10.04,1,4.24,1,4.42,1,13.35,1,8.14,1
476,12.48,1,21.15,0,20.58,0,19.31,0,16.59,0
477,13.19,1,2.81,1,8.92,1,26.07,0,5.66,1
478,11.91,1,10.17,1,21.41,0,3.94,1,10.58,1
479,28.19,0,22.93,0,25.83,0,13.94,1,5.07,1
480,15.75,0,5.19,1,23.72,0,21.83,0,23.31,0
481,26.77,0,22.33,0,14.69,1,24.67,0,7.56,1
482,1.43,1,15.38,0,15.82,0,24.85,0,23.49,0
483,22.08,0,11.8,1,10.22,1,23.88,0,21.66,0
484,24.58,0,9.9,1,15.75,0,15.3,0,26.93,0
485,23.85,0,16.05,0,7.32,1,28.48,0,22.81,0
486,4.18,1,15.58,0,29.11,0,8.66,1,15.52,0
487,14.99,1,29.34,0,16.32,0,6.36,1,17.0,0
488,7.59,1,4.3,1,27.8,0,17.56,0,10.4,1
489,18.98,0,3.77,1,23.55,0,0.51,1,12.09,1
490,9.35,1,14.53,1,24.93,0,19.75,0,7.15,1
491,4.47,1,18.79,0,20.12,0,7.78,1,1.69,1
492,21.3,0,28.42,0,23.61,0,22.73,0,6.35,1
493,23.12,0,11.9,1,14.08,1,13.37,1,13.48,1
494,9.12,1,3.67,1,7.27,1,24.99,0,22.59,0
495,12.89,1,25.33,0,14.62,1,10.25,1,11.77,1
496,20.5,0,18.81,0,17.7,0,13.76,1,11.97,1
497,16.52,0,4.26,1,7.17,1,7.61,1,24.33,0
498,0.24,1,7.23,1,18.85,0,16.67,0,4.43,1
499,24.62,0,20.65,0,8.25,1,16.09,0,10.06,1
500,29.02,0,9.38,1,11.89,1,21.66,0,10.36,1
501,27.18,0,25.92,0,6.16,1,18.33,0,29.94,0
502,27.34,0,12.12,1,1.79,1,18.71,0,4.16,1
503,19.66,0,26.24,0,11.64,1,11.77,1,18.57,0
504,22.01,0,27.25,0,1.22,1,11.9,1,14.8,1
505,1.57,1,18.84,0,20.62,0,22.55,0,2.49,1
506,23.07,0,10.93,1,14.61,1,25.86,0,22.29,0
507,23.44,0,25.24,0,28.51,0,5.36,1,5.23,1
508,25.34,0,5.99,1,0.31,1,25.2,0,11.74,1
509,18.23,0,10.7,1,6.99,1,1.67,1,1.69,1
510,24.51,0,0.38,1,14.52,1,15.46,0,2.92,1
511,14.48,1,8.46,1,26.01,0,22.44,0,8.2,1
512,12.25,1,28.68,0,16.69,0,3.18,1,9.23,1
513,4.63,1,18.08,0,1.09,1,9.01,1,11.78,1
514,21.49,0,8.54,1,28.85,0,0.78,1,11.61,1
515,8.83,1,18.82,0,21.96,0,2.74,1,5.04,1
516,2.16,1,22.36,0,16.23,0,18.55,0,0.33,1
517,23.98,0,27.91,0,1.4,1,6.81,1,17.44,0
518,12.07,1,2.51,1,14.9,1,22.81,0,14.61,1
519,26.87,0,18.25,0,26.48,0,25.65,0,16.68,0
520,24.49,0,15.69,0,24.13,0,0.13,1,17.04,0
521,26.46,0,1.91,1,21.99,0,13.54,1,18.54,0
522,9.41,1,5.02,1,14.84,1,7.81,1,6.02,1
523,29.76,0,25.84,0,18.13,0,10.0,1,29.48,0
524,27.11,0,1.21,1,1.36,1,25.06,0,2.13,1
525,22.99,0,18.91,0,21.39,0,2.78,1,23.41,0
526,11.22,1,23.82,0,21.58,0,6.35,1,0.99,1
527,8.07,1,4.51,1,11.88,1,10.11,1,8.29,1
528,4.39,1,21.91,0,9.22,1,9.82,1,14.56,1
529,5.35,1,25.04,0,0.36,1,15.6,0,19.36,0
530,0.92,1,9.59,1,3.57,1,10.25,1,2.86,1
531,6.4,1,15.17,0,28.66,0,13.07,1,17.19,0
532,13.31,1,27.01,0,0.22,1,7.26,1,1.34,1
533,29.0,0,1.34,1,18.01,0,17.6,0,21.88,0
534,16.89,0,25.09,0,11.3,1,15.27,0,21.04,0
535,22.97,0,6.49,1,14.05,1,18.37,0,16.11,0
536,0.09,1,8.16,1,27.21,0,5.44,1,22.04,0
537,27.27,0,22.59,0,13.79,1,21.29,0,5.35,1
538,23.38,0,19.45,0,29.57,0,13.11,1,3.02,1
539,16.62,0,9.34,1,18.26,0,11.4,1,24.79,0
540,15.62,0,20.49,0,28.61,0,1.97,1,24.47,0
541,14.42,1,0.12,1,17.34,0,0.86,1,3.15,1
542,13.57,1,5.15,1,14.53,1,27.56,0,20.23,0
543,26.79,0,1.87,1,8.3,1,12.21,1,3.96,1
544,13.61,1,5.15,1,20.14,0,15.58,0,23.25,0
545,19.87,0,28.94,0,23.36,0,23.48,0,24.8,0
546,9.41,1,16.84,0,13.17,1,25.87,0,14.87,1
547,28.26,0,21.29,0,20.33,0,24.12,0,24.31,0
548,21.45,0,6.41,1,2.63,1,13.28,1,5.6,1
549,1.53,1,4.91,1,27.1,0,1.61,1,29.19,0
550,7.21,1,21.63,0,23.19,0,28.97,0,18.84,0
551,8.03,1,6.37,1,21.39,0,20.95,0,23.35,0
552,13.23,1,22.21,0,17.01,0,19.8,0,5.57,1
553,6.61,1,3.79,1,24.94,0,25.36,0,0.66,1
554,5.54,1,21.12,0,18.17,0,16.43,0,13.9,1
555,22.7,0,9.87,1,29.88,0,4.02,1,4.58,1
556,28.4,0,26.17,0,24.82,0,22.73,0,8.48,1
557,25.32,0,14.12,1,14.69,1,23.25,0,4.75,1
558,11.88,1,13.69,1,2.37,1,10.2,1,2.21,1
559,2.05,1,4.67,1,4.11,1,21.09,0,23.24,0
560,0.18,1,21.31,0,15.42,0,13.76,1,17.02,0
561,29.65,0,24.0,0,9.76,1,25.78,0,15.73,0
562,9.79,1,7.38,1,0.42,1,2.42,1,6.41,1
563,28.6,0,27.02,0,20.81,0,7.58,1,2.76,1
564,23.0,0,15.47,0,12.39,1,24.69,0,15.84,0
565,12.49,1,8.31,1,21.37,0,12.33,1,1.82,1
566,0.11,1,14.18,1,23.88,0,21.07,0,7.48,1
567,28.91,0,2.74,1,20.39,0,7.51,1,20.29,0
568,23.5,0,7.97,1,5.65,1,1.63,1,3.12,1
569,15.19,0,21.17,0,26.89,0,27.91,0,9.09,1
570,4.69,1,3.86,1,27.54,0,0.51,1,24.42,0
571,25.41,0,7.72,1,3.93,1,18.02,0,27.31,0
572,27.24,0,14.33,1,27.17,0,27.23,0,3.25,1
573,0.27,1,29.75,0,11.24,1,27.56,0,25.57,0
574,3.92,1,27.48,0,1.67,1,26.57,0,26.54,0
575,10.9,1,0.25,1,12.83,1,27.61,0,9.31,1
576,17.12,0,18.16,0,17.24,0,26.29,0,26.9,0
577,1.81,1,5.47,1,24.39,0,14.87,1,6.03,1
578,22.9,0,18.85,0,23.4,0,30.0,0,3.52,1
579,26.94,0,9.11,1,19.42,0,3.79,1,3.2,1
580,8.86,1,11.85,1,22.02,0,20.16,0,11.85,1
581,25.8,0,16.58,0,14.75,1,14.32,1,22.52,0
582,0.46,1,13.97,1,11.28,1,12.14,1,11.86,1
583,17.61,0,13.01,1,1.16,1,19.8,0,13.39,1
584,27.04,0,12.92,1,21.38,0,20.38,0,17.39,0
585,19.77,0,0.57,1,11.44,1,28.46,0,8.71,1
586,28.91,0,13.73,1,13.95,1,17.24,0,2.95,1
587,18.09,0,5.4,1,5.08,1,2.4,1,28.9,0
588,7.5,1,3.85,1,12.35,1,1.3,1,26.67,0
589,4.75,1,13.36,1,21.17,0,9.29,1,18.31,0
590,24.24,0,9.79,1,19.49,0,8.95,1,18.97,0
591,22.7,0,15.49,0,17.91,0,25.38,0,18.11,0
592,3.24,1,23.69,0,25.75,0,21.91,0,16.09,0
593,0.12,1,19.08,0,9.21,1,14.76,1,27.27,0
594,19.14,0,23.17,0,8.21,1,22.38,0,7.69,1
595,1.3,1,8.91,1,3.25,1,8.0,1,29.03,0
596,9.08,1,3.41,1,24.74,0,4.77,1,8.2,1
597,12.63,1,15.28,0,1.03,1,17.99,0,9.72,1
598,6.61,1,2.2,1,19.63,0,5.02,1,29.4,0
599,1.61,1,16.22,0,27.43,0,2.98,1,1.93,1
600,2.77,1,29.54,0,25.79,0,23.01,0,26.41,0
601,15.13,0,10.34,1,18.2,0,24.48,0,20.81,0
602,29.96,0,28.47,0,12.27,1,16.38,0,7.33,1
603,19.58,0,10.48,1,16.95,0,8.55,1,5.44,1
604,7.36,1,12.14,1,0.06,1,15.6,0,20.17,0
605,11.01,1,27.69,0,3.87,1,13.29,1,3.5,1
606,23.8,0,8.97,1,11.65,1,26.78,0,22.68,0
607,19.43,0,9.68,1,29.51,0,2.19,1,6.71,1
608,8.14,1,15.84,0,20.9,0,25.35,0,11.77,1
609,9.54,1,6.68,1,26.22,0,21.42,0,5.96,1
610,20.6,0,4.82,1,1.7,1,23.56,0,1.31,1
611,5.98,1,23.5,0,26.34,0,9.09,1,26.04,0
612,29.77,0,22.83,0,7.54,1,9.8,1,8.39,1
613,14.52,1,15.22,0,26.04,0,22.39,0,16.75,0
614,18.28,0,1.07,1,24.9,0,24.68,0,9.96,1
615,0.12,1,11.12,1,9.7,1,0.93,1,9.79,1
616,11.21,1,1.26,1,1.67,1,19.31,0,20.1,0
617,29.98,0,21.98,0,23.27,0,2.12,1,0.26,1
618,11.14,1,5.68,1,26.87,0,11.86,1,23.39,0
619,19.72,0,8.77,1,18.92,0,3.97,1,15.83,0
620,23.77,0,16.98,0,6.27,1,29.36,0,14.45,1
621,10.0,1,23.29,0,10.1,1,2.03,1,27.93,0
622,24.96,0,10.79,1,8.03,1,27.41,0,11.02,1
623,15.71,0,7.06,1,18.67,0,3.68,1,9.58,1
624,8.4,1,21.5,0,13.37,1,25.24,0,28.97,0
625,14.52,1,17.9,0,4.64,1,17.29,0,5.28,1
626,7.45,1,16.57,0,11.24,1,29.17,0,18.4,0
627,25.67,0,10.06,1,0.32,1,27.48,0,4.03,1
628,4.72,1,16.05,0,21.84,0,8.72,1,22.68,0
629,19.15,0,22.22,0,17.29,0,10.81,1,18.6,0
630,0.2,1,3.57,1,12.14,1,1.83,1,24.48,0
631,27.81,0,7.43,1,7.36,1,21.64,0,22.83,0
632,22.85,0,10.01,1,22.3,0,11.17,1,13.79,1
633,21.62,0,14.11,1,24.0,0,25.36,0,7.39,1
634,12.7,1,4.07,1,6.06,1,2.98,1,20.64,0
635,23.41,0,7.58,1,29.67,0,4.68,1,14.69,1
636,2.62,1,24.89,0,15.96,0,22.88,0,16.21,0
637,7.97,1,22.06,0,10.05,1,13.89,1,10.78,1
638,21.37,0,27.47,0,23.74,0,7.23,1,14.29,1
639,1.67,1,7.82,1,29.8,0,4.65,1,21.34,0
640,27.61,0,12.7,1,1.51,1,3.11,1,15.99,0
641,1.66,1,0.23,1,26.43,0,18.13,0,7.88,1
642,18.58,0,26.38,0,0.22,1,16.18,0,18.08,0
643,8.3,1,5.84,1,10.77,1,19.96,0,18.89,0
644,2.21,1,21.16,0,14.37,1,17.11,0,29.08,0
645,3.32,1,17.79,0,27.31,0,13.89,1,14.83,1
646,18.99,0,9.2,1,17.06,0,10.46,1,28.94,0
647,13.62,1,1.29,1,23.83,0,19.11,0,29.35,0
648,13.26,1,3.01,1,13.15,1,13.49,1,25.99,0
649,17.71,0,24.92,0,14.66,1,25.86,0,27.85,0
650,15.4,0,9.0,1,19.28,0,15.15,0,21.88,0
651,5.99,1,26.58,0,26.67,0,14.97,1,16.59,0
652,17.67,0,20.95,0,4.13,1,13.87,1,23.94,0
653,17.83,0,24.69,0,6.81,1,17.2,0,17.23,0
654,25.57,0,20.93,0,1.93,1,25.94,0,29.58,0
655,14.89,1,12.41,1,8.9,1,9.57,1,24.22,0
656,15.27,0,19.75,0,1.17,1,17.49,0,8.66,1
657,10.91,1,13.89,1,13.9,1,27.49,0,4.2,1
658,20.0,0,11.0,1,2.84,1,24.9,0,20.7,0
659,8.75,1,12.8,1,1.36,1,10.56,1,17.45,0
660,14.47,1,16.4,0,12.13,1,19.5,0,5.51,1
661,28.87,0,22.34,0,9.97,1,18.67,0,16.4,0
662,20.35,0,29.49,0,15.52,0,21.16,0,1.18,1
663,20.09,0,21.88,0,21.49,0,23.91,0,4.38,1
664,17.78,0,7.04,1,13.72,1,11.53,1,23.1,0
665,29.36,0,29.23,0,25.72,0,11.78,1,17.92,0
666,15.94,0,7.42,1,1.16,1,13.5,1,22.4,0
667,11.64,1,29.71,0,2.78,1,10.08,1,14.32,1
668,13.42,1,18.52,0,9.53,1,3.82,1,19.33,0
669,5.37,1,25.49,0,18.27,0,21.69,0,25.67,0
670,20.74,0,17.6,0,21.82,0,28.37,0,19.23,0
671,13.68,1,25.15,0,29.85,0,4.47,1,28.35,0
672,27.51,0,12.22,1,25.78,0,5.83,1,2.33,1
673,3.88,1,27.85,0,16.51,0,0.67,1,14.76,1
674,14.72,1,10.75,1,15.88,0,28.52,0,20.21,0
675,16.48,0,3.41,1,7.1,1,3.99,1,8.07,1
676,0.95,1,11.2,1,12.02,1,11.79,1,6.83,1
677,17.07,0,20.25,0,13.44,1,10.12,1,3.5,1
678,29.84,0,7.35,1,19.08,0,9.33,1,21.92,0
679,7.54,1,27.1,0,10.9,1,28.22,0,21.21,0
680,23.66,0,11.02,1,2.91,1,9.58,1,24.85,0
681,16.45,0,13.13,1,19.95,0,10.93,1,2.86,1
682,15.84,0,9.13,1,19.16,0,28.12,0,19.28,0
683,11.05,1,9.46,1,6.4,1,3.85,1,29.2,0
684,11.01,1,7.3,1,10.84,1,12.49,1,1.34,1
685,9.13,1,26.17,0,14.88,1,5.73,1,4.9,1
686,4.94,1,11.94,1,14.4,1,4.26,1,17.09,0
687,16.06,0,23.68,0,23.92,0,14.07,1,29.35,0
688,11.39,1,20.27,0,4.85,1,28.23,0,15.56,0
689,10.57,1,26.53,0,8.72,1,10.28,1,4.78,1
690,25.19,0,16.76,0,4.17,1,3.2,1,0.47,1
691,19.43,0,23.97,0,11.46,1,15.19,0,4.39,1
692,13.8,1,29.24,0,22.02,0,18.64,0,21.06,0
693,24.82,0,21.64,0,6.4,1,29.28,0,23.8,0
694,3.85,1,4.56,1,29.76,0,27.69,0,25.88,0
695,25.79,0,4.46,1,11.35,1,8.92,1,8.09,1
696,0.99,1,0.86,1,22.32,0,23.62,0,14.71,1
697,10.38,1,3.18,1,3.58,1,8.76,1,27.02,0
698,21.26,0,2.66,1,1.86,1,3.16,1,2.46,1
699,12.7,1,29.25,0,27.89,0,17.79,0,2.31,1
700,4.71,1,16.96,0,27.34,0,29.71,0,9.31,1
701,22.69,0,19.57,0,17.26,0,28.32,0,4.45,1
702,18.99,0,13.37,1,4.81,1,25.48,0,20.41,0
703,6.81,1,16.56,0,2.62,1,29.26,0,18.26,0
704,15.47,0,24.69,0,15.47,0,14.52,1,12.25,1
705,13.04,1,3.53,1,12.09,1,16.12,0,28.38,0
706,24.67,0,2.16,1,5.86,1,0.4,1,8.84,1
707,18.62,0,21.22,0,28.24,0,3.94,1,6.99,1
708,17.51,0,3.02,1,7.65,1,26.35,0,29.05,0
709,21.58,0,5.0,1,12.91,1,14.19,1,24.96,0
710,17.09,0,5.31,1,21.52,0,4.89,1,15.21,0
711,4.79,1,28.87,0,11.48,1,6.97,1,7.48,1
712,6.29,1,19.68,0,5.45,1,7.97,1,27.15,0
713,3.28,1,17.15,0,14.2,1,7.83,1,24.0,0
714,3.92,1,21.6,0,29.98,0,27.08,0,29.04,0
715,21.03,0,13.11,1,15.89,0,16.93,0,10.61,1
716,22.72,0,1.0,1,2.66,1,13.43,1,29.75,0
717,18.76,0,27.54,0,1.96,1,0.21,1,28.07,0
718,27.04,0,10.79,1,13.87,1,21.98,0,21.25,0
719,21.72,0,8.52,1,25.77,0,5.64,1,5.37,1
720,0.33,1,14.38,1,15.65,0,22.92,0,24.79,0
721,3.21,1,25.0,0,26.76,0,26.03,0,18.32,0
722,28.96,0,1.09,1,28.87,0,1.67,1,25.99,0
723,14.68,1,14.65,1,18.11,0,5.79,1,23.56,0
724,14.77,1,12.71,1,28.72,0,15.64,0,23.8,0
725,0.73,1,4.12,1,2.31,1,0.84,1,14.69,1
726,15.52,0,9.72,1,17.02,0,18.24,0,14.83,1
727,28.57,0,24.17,0,11.38,1,18.38,0,6.93,1
728,9.3,1,8.99,1,0.19,1,13.63,1,1.91,1
729,18.7,0,25.76,0,2.66,1,22.86,0,3.04,1
730,16.7,0,26.51,0,15.96,0,27.08,0,17.37,0
731,27.43,0,12.97,1,5.01,1,26.77,0,3.02,1
732,8.28,1,10.66,1,18.91,0,3.2,1,23.08,0
733,22.45,0,7.78,1,8.41,1,5.98,1,24.29,0
734,15.44,0,6.72,1,2.44,1,8.83,1,28.61,0
735,4.23,1,12.54,1,25.82,0,1.71,1,19.48,0
736,6.89,1,3.37,1,3.1,1,8.06,1,19.64,0
737,23.32,0,22.95,0,11.7,1,25.53,0,7.28,1
738,26.56,0,10.7,1,15.77,0,0.38,1,9.23,1
739,6.78,1,4.11,1,10.07,1,15.54,0,26.26,0
740,12.04,1,1.61,1,6.72,1,24.08,0,4.79,1
741,21.88,0,25.14,0,9.43,1,6.74,1,25.24,0
742,2.78,1,6.51,1,18.83,0,13.28,1,19.16,0
743,11.8,1,25.72,0,11.61,1,4.1,1,13.34,1
744,14.3,1,8.15,1,18.6,0,28.78,0,6.9,1
745,25.54,0,10.65,1,21.77,0,24.03,0,5.94,1
746,26.41,0,24.06,0,18.78,0,22.82,0,2.53,1
747,21.94,0,16.08,0,27.36,0,14.92,1,10.54,1
748,17.8,0,11.15,1,18.16,0,24.25,0,13.67,1
749,11.52,1,7.45,1,14.6,1,8.2,1,14.93,1
750,2.32,1,6.17,1,24.08,0,26.43,0,9.59,1
751,2.62,1,4.45,1,2.43,1,3.6,1,5.89,1
752,5.08,1,8.08,1,18.88,0,14.91,1,10.59,1
753,22.81,0,13.36,1,18.76,0,25.71,0,18.25,0
754,21.87,0,14.23,1,8.0,1,1.08,1,28.79,0
755,9.55,1,26.47,0,26.6,0,11.41,1,4.76,1
756,23.85,0,15.28,0,1.61,1,9.2,1,24.18,0
757,4.65,1,21.66,0,20.38,0,19.73,0,14.88,1
758,14.14,1,28.69,0,4.38,1,13.45,1,4.31,1
759,15.4,0,19.55,0,1.59,1,13.63,1,5.84,1
760,17.31,0,13.76,1,11.77,1,4.81,1,19.59,0
761,11.46,1,0.16,1,23.74,0,21.38,0,26.28,0
762,26.57,0,22.97,0,11.58,1,1.57,1,12.44,1
763,23.6,0,0.73,1,5.35,1,15.66,0,20.23,0
764,9.57,1,0.99,1,27.46,0,29.93,0,14.31,1
765,21.03,0,4.43,1,9.02,1,27.37,0,22.95,0
766,20.08,0,29.43,0,6.71,1,13.35,1,23.77,0
767,14.12,1,15.58,0,18.26,0,5.62,1,0.11,1
768,17.88,0,24.51,0,19.7,0,0.27,1,29.5,0
769,5.36,1,4.27,1,14.97,1,13.49,1,0.74,1
770,3.22,1,23.23,0,28.68,0,12.29,1,27.73,0
771,22.13,0,19.51,0,5.81,1,0.6,1,11.5,1
772,3.6,1,18.79,0,4.47,1,5.72,1,8.45,1
773,16.11,0,2.88,1,27.56,0,5.46,1,24.96,0
774,5.35,1,0.5,1,6.55,1,8.89,1,25.33,0
775,18.82,0,26.02,0,0.95,1,22.88,0,6.48,1
776,14.88,1,26.54,0,15.19,0,27.57,0,29.45,0
777,28.45,0,17.62,0,29.22,0,12.47,1,10.46,1
778,29.88,0,12.42,1,27.17,0,6.25,1,2.17,1
779,17.07,0,5.49,1,13.3,1,24.5,0,29.48,0
780,22.8,0,8.32,1,20.6,0,27.55,0,12.11,1
781,13.59,1,15.66,0,13.66,1,28.95,0,5.98,1
782,0.99,1,27.24,0,27.16,0,1.15,1,5.48,1
783,18.21,0,24.26,0,13.34,1,15.33,0,5.35,1
784,9.77,1,25.96,0,8.48,1,25.37,0,16.67,0
785,16.88,0,29.22,0,29.16,0,0.81,1,3.42,1
786,2.95,1,13.89,1,1.06,1,25.09,0,18.84,0
787,11.57,1,18.37,0,16.82,0,4.21,1,23.13,0
788,25.69,0,2.21,1,15.96,0,21.74,0,16.88,0
789,6.66,1,12.83,1,23.6,0,27.01,0,22.71,0
790,15.22,0,14.23,1,22.03,0,29.67,0,24.29,0
791,5.85,1,15.68,0,11.88,1,6.45,1,23.53,0
792,13.08,1,17.04,0,12.55,1,1.49,1,24.8,0
793,12.36,1,5.0,1,14.85,1,8.66,1,20.62,0
794,1.42,1,28.16,0,20.2,0,2.21,1,7.13,1
795,28.13,0,22.08,0,4.75,1,10.78,1,17.62,0
796,9.98,1,21.35,0,21.48,0,14.67,1,21.81,0
797,23.38,0,22.61,0,3.85,1,25.45,0,28.59,0
798,0.28,1,21.92,0,25.42,0,0.34,1,20.21,0
799,12.08,1,27.49,0,20.05,0,18.17,0,11.87,1
800,16.04,0,16.74,0,23.09,0,4.27,1,20.39,0
801,0.53,1,29.54,0,12.91,1,17.67,0,15.56,0
802,21.38,0,11.74,1,7.02,1,28.87,0,25.32,0
803,20.37,0,28.89,0,19.82,0,17.2,0,24.27,0
804,19.46,0,22.42,0,11.83,1,6.17,1,13.49,1
805,1.62,1,15.67,0,26.16,0,5.05,1,9.85,1
806,28.15,0,23.2,0,15.74,0,14.05,1,5.63,1
807,7.49,1,23.03,0,11.36,1,5.67,1,11.71,1
808,24.23,0,16.28,0,16.58,0,23.95,0,17.14,0
809,6.46,1,14.88,1,9.21,1,21.79,0,2.28,1
810,12.0,1,11.85,1,21.77,0,14.01,1,20.27,0
811,23.35,0,23.93,0,29.97,0,24.15,0,14.36,1
812,26.38,0,27.64,0,29.03,0,11.19,1,12.56,1
813,21.42,0,23.89,0,21.06,0,12.91,1,3.64,1
814,25.83,0,17.62,0,22.02,0,12.98,1,4.1,1
815,0.55,1,17.99,0,14.41,1,16.98,0,13.75,1
816,12.73,1,0.62,1,26.85,0,29.27,0,1.75,1
817,9.06,1,27.64,0,20.83,0,26.89,0,8.1,1
818,11.29,1,0.31,1,4.64,1,5.45,1,18.44,0
819,14.3,1,19.94,0,19.88,0,1.58,1,8.96,1
820,24.25,0,11.21,1,26.43,0,1.53,1,13.37,1
821,25.03,0,4.39,1,19.71,0,13.29,1,24.39,0
822,23.95,0,0.07,1,7.27,1,14.85,1,1.42,1
823,20.11,0,29.73,0,26.26,0,10.15,1,15.52,0
824,20.52,0,18.17,0,18.39,0,6.19,1,2.41,1
825,22.7,0,14.53,1,12.67,1,3.44,1,29.4,0
826,28.09,0,15.36,0,19.36,0,5.03,1,8.11,1
827,2.33,1,8.16,1,23.43,0,4.84,1,19.18,0
828,16.94,0,20.58,0,17.88,0,11.15,1,26.84,0
829,12.86,1,18.89,0,17.26,0,0.73,1,21.18,0
830,0.79,1,22.42,0,16.18,0,3.09,1,9.58,1
831,27.0,0,8.84,1,9.25,1,10.73,1,8.58,1
832,6.31,1,1.24,1,2.79,1,25.57,0,0.14,1
833,26.55,0,22.23,0,4.72,1,3.79,1,17.57,0
834,11.86,1,16.6,0,29.04,0,0.36,1,17.25,0
835,5.0,1,18.34,0,29.11,0,27.06,0,23.53,0
836,21.22,0,25.61,0,3.32,1,17.09,0,19.87,0
837,21.03,0,2.17,1,7.1,1,14.23,1,5.91,1
838,19.96,0,21.33,0,3.66,1,21.44,0,21.49,0
839,4.85,1,4.95,1,3.14,1,24.45,0,1.55,1
840,1.08,1,5.65,1,24.05,0,16.6,0,24.06,0
841,9.83,1,22.05,0,29.55,0,17.19,0,23.43,0
842,29.76,0,17.38,0,9.81,1,7.91,1,16.61,0
843,6.27,1,1.55,1,13.06,1,7.0,1,9.37,1
844,27.12,0,8.55,1,22.22,0,17.05,0,6.76,1
845,20.23,0,16.42,0,6.23,1,11.34,1,26.08,0
846,11.99,1,16.6,0,1.09,1,11.18,1,24.55,0
847,23.95,0,7.2,1,29.84,0,3.32,1,4.25,1
848,7.51,1,16.99,0,5.1,1,20.55,0,22.41,0
849,26.86,0,3.17,1,6.17,1,13.41,1,28.21,0
850,12.49,1,28.47,0,15.02,0,6.73,1,0.65,1
851,26.85,0,21.08,0,5.16,1,6.27,1,24.43,0
852,12.71,1,5.93,1,1.01,1,22.29,0,29.61,0
853,27.37,0,25.56,0,4.04,1,18.85,0,28.45,0
854,26.67,0,8.61,1,25.26,0,9.85,1,23.89,0
855,26.34,0,2.52,1,17.48,0,16.99,0,5.06,1
856,21.1,0,19.5,0,7.37,1,24.08,0,22.47,0
857,4.23,1,15.96,0,11.58,1,2.97,1,16.87,0
858,4.63,1,13.02,1,27.25,0,12.4,1,9.38,1
859,26.77,0,23.09,0,10.19,1,14.08,1,9.51,1
