student_id,Object Oriented Programming through Java_mark,lag_Object Oriented Programming through Java,Operating Systems_mark,lag_Operating Systems,Computer Organization and Architecture_mark,lag_Computer Organization and Architecture,Data Structures_mark,lag_Data Structures,"Probability, Statistics and Queuing Theory_mark","lag_Probability, Statistics and Queuing Theory"
429,19.52,0,7.52,1,28.05,0,5.86,1,2.79,1
430,16.96,0,11.42,1,14.89,1,14.14,1,12.43,1
431,3.81,1,22.68,0,4.29,1,23.33,0,4.62,1
432,0.03,1,0.06,1,26.74,0,26.36,0,14.68,1
433,9.23,1,8.8,1,13.67,1,9.36,1,9.85,1
434,20.27,0,12.17,1,23.03,0,4.5,1,2.96,1
435,8.2,1,10.87,1,19.33,0,10.74,1,16.39,0
436,10.99,1,13.11,1,26.11,0,28.77,0,2.91,1
437,22.79,0,16.57,0,7.44,1,19.34,0,5.79,1
438,0.45,1,11.64,1,19.64,0,18.62,0,24.95,0
439,7.41,1,29.3,0,22.86,0,22.61,0,9.87,1
440,8.85,1,14.22,1,23.21,0,11.74,1,4.38,1
441,27.79,0,23.93,0,16.39,0,0.21,1,16.44,0
442,2.97,1,25.7,0,13.81,1,3.76,1,3.81,1
443,13.28,1,10.56,1,26.3,0,0.15,1,29.54,0
444,29.92,0,23.94,0,19.87,0,7.02,1,0.65,1
445,9.27,1,4.16,1,22.22,0,13.66,1,15.93,0
446,29.79,0,3.41,1,26.87,0,27.0,0,0.75,1
447,4.44,1,5.78,1,26.14,0,4.34,1,5.63,1
448,27.37,0,8.67,1,17.71,0,6.34,1,16.27,0
449,2.53,1,0.51,1,1.22,1,23.12,0,1.29,1
450,2.55,1,25.16,0,9.3,1,29.43,0,20.99,0
451,0.34,1,21.89,0,14.54,1,24.76,0,9.2,1
452,11.61,1,29.37,0,18.2,0,11.54,1,29.11,0
453,12.55,1,5.19,1,15.04,0,0.36,1,20.78,0
454,2.96,1,6.67,1,22.8,0,9.15,1,14.9,1
455,3.11,1,27.59,0,3.29,1,24.22,0,27.92,0
456,24.4,0,6.81,1,8.62,1,24.05,0,27.05,0
457,17.74,0,6.54,1,13.78,1,14.35,1,1.32,1
458,0.53,1,9.28,1,18.26,0,23.67,0,17.45,0
459,18.34,0,10.29,1,18.31,0,27.7,0,26.38,0
460,6.5,1,16.59,0,23.44,0,6.53,1,3.26,1
461,8.5,1,18.63,0,5.42,1,11.42,1,25.86,0
462,28.17,0,25.22,0,0.57,1,10.73,1,29.56,0
463,25.84,0,21.24,0,15.5,0,3.06,1,29.68,0
464,14.59,1,19.3,0,14.92,1,2.2,1,0.62,1
465,5.51,1,13.64,1,8.65,1,29.03,0,4.15,1
466,9.97,1,6.98,1,28.78,0,20.42,0,5.8,1
467,29.14,0,4.56,1,8.27,1,22.67,0,22.5,0
468,17.67,0,1.35,1,10.69,1,15.35,0,19.95,0
469,18.08,0,13.44,1,11.16,1,17.61,0,24.74,0
470,19.57,0,19.44,0,17.47,0,14.93,1,7.68,1
471,23.93,0,15.16,0,19.74,0,0.75,1,20.93,0
472,29.83,0,23.09,0,8.06,1,6.45,1,25.46,0
473,17.51,0,10.51,1,17.26,0,28.01,0,25.75,0
474,28.25,0,15.96,0,11.91,1,25.62,0,26.93,0
475,15.69,0,28.73,0,1.28,1,16.73,0,17.41,0
476,2.47,1,2.03,1,0.27,1,11.12,1,22.23,0
477,10.58,1,11.05,1,13.9,1,4.24,1,16.03,0
478,3.27,1,23.4,0,6.1,1,16.81,0,1.66,1
479,12.79,1,13.53,1,8.94,1,15.05,0,20.77,0
480,26.89,0,26.54,0,20.4,0,24.65,0,24.1,0
481,21.46,0,17.93,0,22.19,0,11.44,1,1.36,1
482,9.03,1,11.65,1,26.4,0,13.69,1,11.4,1
483,26.97,0,2.12,1,26.9,0,14.99,1,14.61,1
484,20.73,0,21.43,0,15.51,0,25.88,0,22.26,0
485,21.01,0,4.93,1,17.31,0,13.36,1,6.14,1
486,11.49,1,10.24,1,18.36,0,12.86,1,5.13,1
487,7.16,1,10.62,1,16.3,0,23.59,0,17.67,0
488,6.57,1,26.12,0,5.16,1,17.47,0,10.3,1
489,20.03,0,25.98,0,9.12,1,17.68,0,17.22,0
490,5.49,1,22.84,0,5.09,1,25.45,0,16.51,0
491,9.29,1,11.74,1,15.57,0,4.3,1,9.66,1
492,26.61,0,20.05,0,17.03,0,23.33,0,4.89,1
493,25.21,0,28.03,0,16.65,0,27.12,0,24.41,0
494,27.89,0,18.23,0,13.2,1,2.04,1,17.4,0
495,16.53,0,17.84,0,24.72,0,8.69,1,26.56,0
496,26.35,0,29.98,0,13.8,1,6.35,1,18.24,0
497,9.1,1,26.55,0,8.09,1,22.91,0,29.29,0
498,27.14,0,14.93,1,16.34,0,14.39,1,23.96,0
499,25.29,0,15.8,0,22.52,0,22.75,0,14.03,1
500,11.95,1,12.21,1,2.52,1,19.21,0,13.43,1
501,21.52,0,2.23,1,3.23,1,10.83,1,11.74,1
502,18.3,0,20.09,0,27.13,0,11.04,1,24.54,0
503,29.41,0,12.76,1,28.08,0,16.41,0,24.91,0
504,6.56,1,12.07,1,11.28,1,0.21,1,8.26,1
505,9.29,1,7.39,1,5.25,1,27.17,0,4.1,1
506,4.43,1,25.72,0,11.46,1,11.06,1,15.85,0
507,0.09,1,8.13,1,5.39,1,20.1,0,6.78,1
508,15.58,0,20.37,0,8.62,1,28.3,0,0.69,1
509,25.41,0,23.02,0,14.72,1,12.49,1,18.85,0
510,29.79,0,4.68,1,15.42,0,25.39,0,25.03,0
511,16.37,0,19.23,0,6.24,1,21.9,0,5.82,1
512,4.26,1,28.86,0,10.14,1,29.4,0,13.04,1
513,7.19,1,9.92,1,19.53,0,14.42,1,27.89,0
514,27.86,0,14.42,1,3.46,1,28.38,0,24.44,0
515,23.2,0,12.34,1,14.77,1,17.29,0,23.77,0
516,16.46,0,28.93,0,1.64,1,29.88,0,29.35,0
517,9.16,1,22.43,0,26.61,0,18.52,0,29.12,0
518,22.29,0,2.79,1,6.74,1,11.96,1,8.53,1
519,9.68,1,1.26,1,27.35,0,12.05,1,25.45,0
520,15.92,0,6.5,1,14.35,1,29.2,0,10.89,1
521,16.05,0,7.96,1,8.73,1,6.2,1,20.42,0
522,7.42,1,16.37,0,6.07,1,29.3,0,4.62,1
523,0.91,1,25.69,0,14.21,1,26.96,0,0.26,1
524,29.42,0,4.51,1,1.99,1,6.69,1,23.17,0
525,20.13,0,9.78,1,22.17,0,4.27,1,14.82,1
526,29.53,0,22.61,0,8.18,1,9.32,1,17.53,0
527,0.02,1,6.29,1,2.68,1,24.51,0,18.2,0
528,5.44,1,14.21,1,26.99,0,11.26,1,13.53,1
529,17.02,0,27.06,0,7.72,1,25.01,0,4.06,1
530,0.97,1,1.4,1,27.27,0,5.85,1,6.75,1
531,11.1,1,14.56,1,9.12,1,3.22,1,0.7,1
532,1.19,1,13.69,1,22.67,0,16.35,0,27.26,0
533,12.71,1,27.66,0,25.67,0,4.33,1,11.63,1
534,7.91,1,19.79,0,4.45,1,26.84,0,17.91,0
535,1.36,1,27.43,0,25.48,0,6.15,1,19.13,0
536,20.72,0,18.99,0,23.94,0,3.42,1,17.36,0
537,27.73,0,11.15,1,25.35,0,22.6,0,11.23,1
538,17.08,0,10.81,1,12.4,1,9.52,1,29.35,0
539,9.57,1,17.79,0,13.6,1,0.22,1,21.15,0
540,26.84,0,22.23,0,4.23,1,2.43,1,26.88,0
541,23.15,0,0.7,1,25.56,0,19.75,0,4.62,1
542,3.26,1,10.59,1,29.21,0,4.58,1,2.47,1
543,28.16,0,22.88,0,7.17,1,20.74,0,4.52,1
544,14.84,1,10.82,1,0.94,1,22.54,0,19.16,0
545,23.93,0,15.32,0,7.85,1,1.76,1,14.98,1
546,12.33,1,0.68,1,12.45,1,5.54,1,5.94,1
547,17.23,0,0.21,1,15.5,0,5.36,1,11.5,1
548,17.03,0,2.7,1,24.78,0,11.38,1,5.79,1
549,18.82,0,6.69,1,8.42,1,26.97,0,12.17,1
550,17.09,0,16.65,0,19.7,0,20.91,0,1.2,1
551,18.96,0,7.91,1,25.8,0,4.88,1,29.43,0
552,13.29,1,22.23,0,11.55,1,13.0,1,10.99,1
553,2.09,1,28.28,0,23.62,0,11.25,1,21.59,0
554,10.97,1,25.65,0,6.06,1,19.88,0,14.52,1
555,22.37,0,24.92,0,24.4,0,27.87,0,27.03,0
556,29.78,0,4.72,1,11.35,1,5.02,1,7.13,1
557,25.21,0,29.48,0,5.04,1,6.63,1,5.17,1
558,9.96,1,9.12,1,8.49,1,21.41,0,25.05,0
559,6.4,1,18.55,0,29.31,0,9.88,1,25.59,0
560,0.58,1,24.4,0,21.99,0,5.87,1,14.57,1
561,16.95,0,18.3,0,3.88,1,13.56,1,14.36,1
562,20.48,0,14.12,1,24.95,0,21.46,0,8.15,1
563,3.36,1,6.91,1,7.53,1,28.06,0,24.68,0
564,8.14,1,12.04,1,17.12,0,29.08,0,7.32,1
565,19.47,0,19.14,0,14.14,1,16.75,0,25.51,0
566,17.04,0,4.59,1,28.08,0,26.66,0,23.58,0
567,5.66,1,12.31,1,10.25,1,29.13,0,9.38,1
568,5.81,1,20.76,0,29.76,0,13.03,1,18.27,0
569,21.02,0,19.3,0,18.68,0,8.53,1,15.36,0
570,27.04,0,19.39,0,15.63,0,2.46,1,29.24,0
571,0.16,1,10.5,1,28.36,0,8.07,1,4.62,1
572,1.37,1,1.89,1,26.03,0,27.0,0,7.8,1
573,9.99,1,28.99,0,6.26,1,18.79,0,22.38,0
574,7.3,1,14.93,1,1.27,1,21.51,0,19.4,0
575,13.22,1,22.42,0,11.62,1,15.85,0,8.78,1
576,24.24,0,15.55,0,11.05,1,15.25,0,28.52,0
577,16.09,0,19.04,0,23.07,0,6.16,1,2.71,1
578,5.53,1,18.59,0,5.18,1,29.16,0,7.03,1
579,23.3,0,15.0,0,12.02,1,26.4,0,6.66,1
580,17.45,0,1.84,1,15.21,0,16.66,0,27.82,0
581,18.86,0,29.43,0,14.74,1,22.69,0,1.94,1
582,20.44,0,13.48,1,27.38,0,6.2,1,13.13,1
583,24.6,0,8.3,1,20.91,0,0.47,1,7.16,1
584,17.38,0,9.27,1,1.99,1,29.34,0,28.52,0
585,25.43,0,26.07,0,5.84,1,20.68,0,3.14,1
586,14.47,1,14.4,1,25.53,0,13.54,1,13.97,1
587,1.62,1,14.11,1,25.83,0,28.86,0,8.8,1
588,29.3,0,16.04,0,18.23,0,4.94,1,2.18,1
589,3.1,1,4.16,1,18.51,0,5.31,1,21.98,0
590,18.46,0,8.1,1,21.81,0,14.1,1,17.89,0
591,9.41,1,1.77,1,26.71,0,26.45,0,4.22,1
592,3.9,1,24.98,0,7.51,1,13.72,1,0.53,1
593,22.83,0,22.65,0,15.61,0,1.29,1,3.83,1
594,1.39,1,9.68,1,2.17,1,13.74,1,15.15,0
595,27.65,0,4.16,1,10.53,1,2.72,1,16.92,0
596,18.42,0,5.67,1,29.23,0,4.33,1,29.2,0
597,19.78,0,20.36,0,1.17,1,8.31,1,4.95,1
598,1.04,1,1.56,1,4.98,1,7.38,1,1.01,1
599,27.46,0,16.89,0,2.27,1,6.77,1,6.12,1
600,1.13,1,10.16,1,9.68,1,24.33,0,28.18,0
601,22.1,0,23.93,0,10.49,1,20.25,0,17.41,0
602,24.15,0,23.08,0,29.31,0,27.35,0,12.61,1
603,15.74,0,13.84,1,10.21,1,17.82,0,25.71,0
604,27.24,0,15.41,0,28.83,0,12.58,1,14.82,1
605,15.14,0,28.38,0,29.0,0,5.78,1,21.17,0
606,5.21,1,14.78,1,19.8,0,1.31,1,20.97,0
607,5.58,1,12.37,1,12.32,1,14.2,1,21.66,0
608,25.88,0,13.74,1,9.36,1,5.91,1,25.61,0
609,25.82,0,29.99,0,15.96,0,16.24,0,1.53,1
610,16.13,0,10.16,1,25.17,0,17.51,0,27.61,0
611,17.28,0,26.67,0,27.46,0,25.38,0,0.87,1
612,29.27,0,23.15,0,2.49,1,28.76,0,24.7,0
613,0.25,1,25.16,0,7.68,1,26.94,0,3.54,1
614,13.21,1,6.13,1,18.62,0,19.1,0,14.58,1
615,5.29,1,3.12,1,29.9,0,12.92,1,25.11,0
616,27.13,0,18.89,0,14.59,1,21.2,0,26.31,0
617,23.34,0,5.84,1,6.48,1,14.51,1,26.2,0
618,20.82,0,22.26,0,9.14,1,0.62,1,21.61,0
619,15.07,0,28.87,0,18.65,0,28.3,0,10.51,1
620,28.53,0,28.12,0,6.79,1,6.33,1,13.78,1
621,26.78,0,13.35,1,23.92,0,29.94,0,20.74,0
622,12.28,1,4.18,1,6.09,1,0.91,1,1.01,1
623,0.92,1,26.98,0,16.95,0,12.02,1,15.74,0
624,13.98,1,17.48,0,11.28,1,7.38,1,21.5,0
625,26.36,0,17.59,0,29.89,0,12.66,1,19.47,0
626,17.1,0,13.29,1,17.67,0,14.53,1,23.35,0
627,20.64,0,17.26,0,17.45,0,27.65,0,11.21,1
628,2.43,1,10.38,1,11.82,1,12.06,1,29.44,0
629,4.99,1,1.72,1,14.7,1,11.69,1,9.32,1
630,27.62,0,7.32,1,14.71,1,26.46,0,12.32,1
631,2.18,1,10.27,1,22.44,0,7.1,1,9.82,1
632,10.76,1,16.29,0,28.5,0,12.31,1,20.47,0
633,18.65,0,6.41,1,7.01,1,11.51,1,9.45,1
634,23.91,0,29.46,0,19.11,0,26.37,0,8.89,1
635,10.06,1,10.71,1,19.66,0,12.2,1,1.18,1
636,16.29,0,27.86,0,28.15,0,20.5,0,28.9,0
637,10.77,1,6.89,1,10.64,1,14.43,1,15.44,0
638,7.04,1,26.59,0,15.25,0,14.96,1,7.74,1
639,28.76,0,6.43,1,3.66,1,6.36,1,8.01,1
640,12.14,1,0.38,1,14.54,1,4.58,1,9.54,1
641,9.77,1,8.26,1,19.73,0,13.72,1,7.63,1
642,22.92,0,23.35,0,8.04,1,29.87,0,9.15,1
643,8.37,1,24.16,0,11.74,1,12.22,1,22.42,0
644,4.27,1,14.39,1,20.12,0,16.73,0,23.86,0
645,3.58,1,13.47,1,4.94,1,23.37,0,22.0,0
646,14.41,1,22.83,0,16.2,0,24.38,0,13.32,1
647,14.24,1,23.27,0,29.12,0,0.93,1,4.3,1
648,10.88,1,15.53,0,21.86,0,6.94,1,10.69,1
649,7.4,1,28.07,0,9.96,1,6.88,1,24.37,0
650,19.19,0,29.56,0,3.69,1,21.65,0,28.11,0
651,26.21,0,12.59,1,24.22,0,7.39,1,19.73,0
652,6.49,1,17.6,0,1.73,1,6.85,1,14.96,1
653,4.17,1,0.9,1,1.4,1,18.39,0,4.49,1
654,23.79,0,27.78,0,18.75,0,8.52,1,2.69,1
655,27.13,0,9.89,1,27.99,0,16.55,0,27.36,0
656,7.12,1,27.44,0,16.86,0,11.42,1,6.13,1
657,17.64,0,27.04,0,12.89,1,14.61,1,16.41,0
658,17.19,0,2.14,1,25.84,0,22.74,0,14.14,1
659,12.62,1,26.0,0,25.07,0,16.03,0,15.6,0
660,17.26,0,11.81,1,1.84,1,19.91,0,1.11,1
661,20.42,0,15.43,0,8.43,1,6.5,1,26.91,0
662,4.39,1,2.36,1,23.74,0,25.9,0,5.62,1
663,3.61,1,16.87,0,14.05,1,5.81,1,5.14,1
664,2.32,1,29.87,0,5.08,1,29.01,0,8.67,1
665,1.33,1,29.98,0,10.6,1,29.41,0,14.21,1
666,21.1,0,9.49,1,18.0,0,28.98,0,4.99,1
667,4.96,1,19.57,0,6.58,1,3.36,1,24.25,0
668,19.67,0,20.93,0,12.85,1,23.46,0,24.55,0
669,27.27,0,24.64,0,24.99,0,6.58,1,28.39,0
670,21.15,0,24.63,0,17.95,0,14.64,1,4.23,1
671,2.18,1,14.84,1,28.22,0,16.13,0,27.96,0
672,21.59,0,10.53,1,25.0,0,13.02,1,21.14,0
673,18.27,0,26.28,0,12.57,1,7.11,1,20.81,0
674,24.93,0,25.83,0,6.64,1,25.76,0,13.21,1
675,15.62,0,20.36,0,0.6,1,0.1,1,3.22,1
676,27.8,0,28.72,0,3.24,1,14.46,1,11.58,1
677,21.92,0,26.33,0,20.7,0,18.09,0,29.85,0
678,8.33,1,5.32,1,26.42,0,27.51,0,7.28,1
679,26.88,0,1.41,1,5.51,1,20.89,0,23.41,0
680,22.45,0,23.18,0,26.45,0,25.38,0,5.93,1
681,0.36,1,2.06,1,24.04,0,10.52,1,15.51,0
682,10.99,1,0.6,1,4.41,1,25.59,0,3.35,1
683,16.98,0,12.49,1,16.1,0,10.16,1,4.48,1
684,10.47,1,21.34,0,18.11,0,10.79,1,21.86,0
685,24.64,0,16.62,0,27.69,0,6.98,1,2.43,1
686,4.09,1,21.65,0,7.73,1,18.82,0,7.33,1
687,8.57,1,9.24,1,0.77,1,17.86,0,28.96,0
688,24.57,0,0.15,1,18.06,0,14.17,1,10.09,1
689,10.88,1,0.38,1,3.01,1,0.23,1,3.28,1
690,20.09,0,11.19,1,12.91,1,8.44,1,29.21,0
691,9.85,1,10.28,1,8.93,1,6.88,1,4.68,1
692,4.0,1,18.37,0,24.9,0,9.26,1,11.06,1
693,20.0,0,15.48,0,18.28,0,24.33,0,22.47,0
694,28.06,0,19.37,0,3.37,1,15.67,0,15.63,0
695,16.54,0,26.06,0,10.41,1,5.79,1,17.29,0
696,3.59,1,14.63,1,6.57,1,10.05,1,23.7,0
697,22.25,0,29.3,0,25.07,0,27.84,0,24.11,0
698,17.96,0,6.95,1,2.9,1,20.41,0,18.83,0
699,28.21,0,7.22,1,12.17,1,8.7,1,4.17,1
700,7.62,1,10.99,1,28.67,0,4.98,1,16.23,0
701,20.68,0,25.74,0,11.59,1,13.63,1,7.13,1
702,14.08,1,6.71,1,1.78,1,20.0,0,2.49,1
703,22.31,0,6.97,1,19.61,0,16.27,0,23.55,0
704,23.54,0,24.53,0,13.83,1,8.49,1,13.33,1
705,14.17,1,29.72,0,3.4,1,4.02,1,19.14,0
706,2.77,1,14.5,1,2.01,1,15.08,0,11.25,1
707,20.66,0,1.19,1,20.98,0,6.54,1,21.54,0
708,14.44,1,26.01,0,25.69,0,16.14,0,8.02,1
709,9.37,1,14.02,1,5.62,1,10.95,1,28.7,0
710,5.97,1,28.55,0,9.1,1,10.56,1,0.95,1
711,21.67,0,6.18,1,17.59,0,7.14,1,27.87,0
712,23.92,0,12.65,1,17.08,0,23.11,0,19.49,0
713,27.84,0,0.88,1,21.57,0,5.11,1,24.64,0
714,9.26,1,20.7,0,6.01,1,1.92,1,20.67,0
715,18.7,0,3.24,1,6.25,1,22.94,0,29.23,0
716,28.08,0,2.87,1,28.26,0,25.19,0,8.14,1
717,29.21,0,14.87,1,9.14,1,23.1,0,25.69,0
718,5.63,1,7.35,1,16.09,0,1.57,1,4.67,1
719,10.42,1,10.51,1,14.68,1,1.9,1,17.67,0
720,22.3,0,16.47,0,3.79,1,21.28,0,14.97,1
721,12.92,1,28.68,0,14.36,1,13.37,1,11.27,1
722,23.27,0,21.08,0,13.22,1,26.07,0,6.14,1
723,9.77,1,16.24,0,22.66,0,22.08,0,14.62,1
724,7.6,1,20.67,0,23.28,0,3.45,1,29.69,0
725,12.77,1,10.79,1,25.33,0,11.82,1,7.78,1
726,27.36,0,20.95,0,2.87,1,20.18,0,22.96,0
727,27.2,0,6.16,1,8.01,1,17.12,0,15.82,0
728,15.18,0,3.36,1,1.8,1,26.5,0,3.32,1
729,24.31,0,16.94,0,14.24,1,29.89,0,1.3,1
730,4.59,1,1.66,1,2.05,1,18.81,0,20.47,0
731,1.45,1,29.58,0,16.13,0,25.09,0,21.88,0
732,16.77,0,15.26,0,6.3,1,6.79,1,27.21,0
733,15.27,0,12.55,1,10.38,1,10.51,1,19.35,0
734,11.56,1,11.19,1,28.7,0,25.04,0,23.76,0
735,7.0,1,29.95,0,13.41,1,3.79,1,5.57,1
736,6.66,1,28.84,0,20.16,0,18.67,0,16.81,0
737,29.65,0,22.51,0,9.78,1,4.29,1,7.15,1
738,26.25,0,15.01,0,6.4,1,6.92,1,22.2,0
739,25.5,0,2.65,1,5.79,1,11.94,1,10.28,1
740,8.5,1,17.85,0,29.79,0,10.75,1,0.93,1
741,10.72,1,24.67,0,3.12,1,26.69,0,29.64,0
742,25.41,0,18.74,0,24.24,0,23.71,0,5.08,1
743,27.08,0,1.46,1,14.2,1,9.95,1,6.84,1
744,0.76,1,3.1,1,26.05,0,2.36,1,23.19,0
745,16.85,0,28.94,0,20.98,0,14.62,1,16.37,0
746,24.22,0,26.88,0,25.29,0,3.53,1,21.21,0
747,12.54,1,9.45,1,14.24,1,22.94,0,22.16,0
748,29.95,0,24.67,0,5.5,1,25.87,0,27.67,0
749,9.47,1,10.1,1,24.57,0,8.38,1,19.63,0
750,19.42,0,8.49,1,19.53,0,3.99,1,19.58,0
751,3.35,1,11.07,1,23.23,0,2.24,1,2.36,1
752,0.67,1,27.79,0,20.59,0,29.42,0,4.64,1
753,7.02,1,27.98,0,12.93,1,18.81,0,25.02,0
754,6.73,1,13.34,1,19.6,0,24.31,0,27.6,0
755,21.29,0,0.88,1,0.94,1,7.79,1,22.02,0
756,17.11,0,24.11,0,8.65,1,18.57,0,25.88,0
757,26.56,0,3.89,1,7.24,1,20.31,0,11.75,1
758,18.05,0,29.96,0,8.4,1,15.24,0,8.89,1
759,0.53,1,29.26,0,16.32,0,25.05,0,18.04,0
760,29.29,0,4.95,1,4.71,1,2.7,1,4.9,1
761,12.45,1,14.55,1,0.38,1,10.7,1,21.06,0
762,11.14,1,12.78,1,1.79,1,8.78,1,20.8,0
763,21.12,0,20.13,0,17.43,0,12.04,1,18.75,0
764,8.55,1,10.37,1,1.93,1,8.52,1,10.87,1
765,12.3,1,10.48,1,19.54,0,8.82,1,11.68,1
766,9.62,1,20.7,0,21.17,0,9.24,1,29.15,0
767,7.49,1,22.23,0,19.18,0,27.87,0,2.18,1
768,17.12,0,10.7,1,22.0,0,9.7,1,20.41,0
769,23.73,0,5.35,1,8.91,1,8.01,1,7.83,1
770,27.18,0,8.72,1,12.1,1,26.92,0,25.91,0
771,5.5,1,29.72,0,14.06,1,14.31,1,3.35,1
772,16.34,0,28.28,0,5.53,1,6.55,1,26.99,0
773,25.31,0,17.9,0,10.15,1,23.9,0,14.51,1
774,9.44,1,0.18,1,13.59,1,6.7,1,22.33,0
775,11.45,1,17.8,0,23.62,0,13.82,1,3.51,1
776,2.92,1,29.54,0,7.04,1,4.93,1,17.64,0
777,24.47,0,22.65,0,17.0,0,11.13,1,15.44,0
778,22.03,0,11.24,1,17.56,0,0.06,1,20.51,0
779,3.58,1,7.37,1,1.87,1,25.3,0,16.88,0
780,8.57,1,9.66,1,10.85,1,1.97,1,14.48,1
781,13.35,1,10.9,1,28.93,0,15.24,0,0.64,1
782,9.27,1,10.03,1,0.95,1,9.7,1,11.59,1
783,4.96,1,23.72,0,0.8,1,13.25,1,2.67,1
784,9.33,1,21.67,0,7.29,1,8.06,1,18.35,0
785,25.99,0,7.47,1,1.52,1,4.1,1,29.59,0
786,24.23,0,25.81,0,29.54,0,16.45,0,25.31,0
787,20.15,0,2.41,1,12.56,1,21.35,0,21.37,0
788,23.7,0,27.22,0,28.21,0,13.47,1,6.45,1
789,4.25,1,15.8,0,5.67,1,7.47,1,9.28,1
790,13.16,1,11.7,1,6.39,1,7.19,1,25.26,0
791,2.95,1,28.0,0,22.71,0,25.72,0,20.51,0
792,10.54,1,5.77,1,5.63,1,19.77,0,25.74,0
793,20.13,0,2.5,1,1.55,1,29.71,0,8.63,1
794,20.8,0,26.26,0,3.78,1,23.03,0,21.41,0
795,1.75,1,23.87,0,21.28,0,7.5,1,14.61,1
796,20.26,0,3.88,1,22.48,0,17.93,0,21.69,0
797,10.93,1,15.49,0,23.07,0,26.52,0,18.47,0
798,21.1,0,25.25,0,28.08,0,29.47,0,2.93,1
799,2.07,1,6.06,1,12.52,1,27.28,0,4.59,1
800,18.68,0,23.95,0,21.7,0,23.51,0,25.76,0
801,27.57,0,28.79,0,20.28,0,11.91,1,1.47,1
802,17.16,0,22.6,0,26.83,0,21.78,0,9.1,1
803,28.46,0,0.01,1,4.35,1,19.81,0,18.46,0
804,17.06,0,20.52,0,18.34,0,15.92,0,0.59,1
805,21.19,0,7.59,1,12.28,1,6.74,1,6.84,1
806,11.36,1,1.43,1,13.26,1,0.94,1,15.9,0
807,18.01,0,1.63,1,9.14,1,4.57,1,2.75,1
808,14.29,1,28.36,0,7.26,1,0.8,1,16.04,0
809,23.5,0,2.83,1,23.76,0,27.73,0,14.21,1
810,0.03,1,7.55,1,25.7,0,22.32,0,3.37,1
811,3.95,1,2.4,1,4.02,1,18.35,0,23.45,0
812,4.25,1,20.11,0,22.62,0,1.47,1,17.94,0
813,15.43,0,2.1,1,28.31,0,9.38,1,26.43,0
814,5.3,1,4.92,1,6.07,1,17.12,0,16.07,0
815,7.59,1,15.76,0,25.52,0,7.82,1,4.87,1
816,2.73,1,26.76,0,27.82,0,4.14,1,29.26,0
817,20.39,0,25.73,0,4.56,1,19.21,0,22.79,0
818,6.75,1,10.77,1,12.68,1,27.31,0,0.51,1
819,29.94,0,11.77,1,10.09,1,1.89,1,5.69,1
820,11.77,1,27.89,0,28.04,0,16.56,0,21.8,0
821,27.12,0,20.99,0,14.5,1,26.61,0,13.7,1
822,23.81,0,15.19,0,27.15,0,13.47,1,14.84,1
823,17.74,0,24.16,0,13.96,1,25.42,0,8.17,1
824,1.63,1,13.75,1,29.59,0,6.15,1,10.43,1
825,0.26,1,10.6,1,5.87,1,3.27,1,17.81,0
826,8.76,1,20.06,0,3.2,1,18.31,0,21.83,0
827,16.36,0,8.46,1,19.72,0,16.96,0,5.96,1
828,19.69,0,7.15,1,3.12,1,19.07,0,22.97,0
829,24.13,0,13.89,1,28.65,0,7.26,1,27.55,0
830,9.35,1,27.64,0,13.58,1,7.52,1,2.43,1
831,27.3,0,29.95,0,24.51,0,19.43,0,17.84,0
832,8.41,1,12.43,1,24.16,0,4.92,1,22.94,0
833,11.77,1,7.66,1,6.53,1,27.18,0,26.8,0
834,3.2,1,23.58,0,20.05,0,24.44,0,24.98,0
835,17.74,0,23.96,0,0.95,1,11.41,1,9.2,1
836,17.16,0,5.96,1,29.58,0,17.61,0,9.77,1
837,1.77,1,23.75,0,14.53,1,22.66,0,13.5,1
838,11.24,1,25.33,0,24.16,0,7.43,1,17.91,0
839,29.75,0,21.11,0,18.14,0,0.96,1,1.59,1
840,26.82,0,24.15,0,20.8,0,25.23,0,3.96,1
841,2.6,1,12.75,1,7.97,1,7.32,1,23.01,0
842,3.49,1,4.19,1,18.88,0,25.59,0,26.0,0
843,25.51,0,12.71,1,11.01,1,13.67,1,27.22,0
844,0.54,1,11.69,1,22.88,0,12.43,1,27.09,0
845,9.29,1,19.89,0,27.26,0,28.22,0,2.89,1
846,20.7,0,9.36,1,29.17,0,28.51,0,14.46,1
847,14.69,1,2.55,1,28.98,0,26.33,0,2.63,1
848,17.23,0,23.56,0,10.78,1,4.53,1,9.21,1
849,2.95,1,25.87,0,26.26,0,17.79,0,4.41,1
850,8.67,1,3.93,1,3.27,1,17.27,0,25.39,0
851,13.87,1,19.23,0,17.64,0,19.73,0,17.8,0
852,12.02,1,4.32,1,9.35,1,4.67,1,25.05,0
853,0.24,1,2.08,1,8.12,1,8.64,1,1.7,1
854,6.92,1,24.85,0,20.52,0,10.42,1,7.6,1
855,6.56,1,13.56,1,26.75,0,2.67,1,7.03,1
856,17.18,0,12.91,1,5.0,1,22.98,0,16.6,0
857,18.83,0,19.45,0,5.26,1,8.35,1,29.96,0
858,17.54,0,29.57,0,28.23,0,27.73,0,21.84,0
859,8.61,1,13.96,1,29.95,0,21.27,0,4.66,1
860,24.44,0,7.09,1,20.71,0,6.44,1,22.58,0
